Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/04,,,,6,,,,,,,,,,5.1
Bonneville,1/2/04,,,,3,-5,,,,,,,,,4.9
Bonneville,1/3/04,,,,16,4,,,,,,,,,4.8
Bonneville,1/4/04,,,,16,8,,1,,,,,,,4.3
Bonneville,1/5/04,,,,,,,,,,,,,,3.4
Bonneville,1/6/04,,,,-3,-3,,,,,,,,,2.8
Bonneville,1/7/04,,,,3,,,,,,,,,,2.6
Bonneville,1/8/04,,,,,,,,,,,,,,2.6
Bonneville,1/9/04,,,,1,,,,,,,,,,2.5
Bonneville,1/10/04,,,,-4,-2,,,,,,,,,2.6
Bonneville,1/11/04,,,,,,,,,,,,,,2.6
Bonneville,1/12/04,,,,18,2,,,,,,,,,2.6
Bonneville,1/13/04,,,,3,2,,,,,,,,,2.6
Bonneville,1/14/04,,,,18,-1,,,,,,,,,2.4
Bonneville,1/15/04,,,,13,-1,,,,,,,,,2.4
Bonneville,1/16/04,,,,3,-2,,,,,,,,,2.3
Bonneville,1/17/04,,,,-2,,,,,,,,,,2.3
Bonneville,1/18/04,,,,7,1,,,,,,,,,2.2
Bonneville,1/19/04,,,,21,,,,,,,,,,2.2
Bonneville,1/20/04,,,,14,1,,,,,,,,,2.2
Bonneville,1/21/04,,,,6,-4,,,,,,,,,2.2
Bonneville,1/22/04,,,,,,,,,,,,,,2.3
Bonneville,1/23/04,,,,2,1,,,,,,,,,2.3
Bonneville,1/24/04,,,,-1,-1,,,,,,,,,2.5
Bonneville,1/25/04,,,,-4,-1,,,,,,,,,2.6
Bonneville,1/26/04,,,,9,,,,,,,,,,2.8
Bonneville,1/27/04,,,,7,1,,,,,,,,,2.9
Bonneville,1/28/04,,,,3,,,,,,,,,,3.1
Bonneville,1/29/04,,,,35,11,,,,,,,,,3.5
Bonneville,1/30/04,,,,26,13,,,,,,,,,3.8
Bonneville,1/31/04,,,,20,8,,,,,,,,,3.8
Bonneville,2/1/04,,,,31,12,,,,,,,,,3.8
Bonneville,2/2/04,,,,34,11,,,,,,,,,3.9
Bonneville,2/3/04,,,,27,,,,,,,,,,3.7
Bonneville,2/4/04,,,,31,9,,,,,,,,,3.8
Bonneville,2/5/04,,,,16,7,,,,,,,,,4
Bonneville,2/6/04,,,,22,3,,,,,,,,,4.1
Bonneville,2/7/04,,,,8,-1,,,,,,,,,4.1
Bonneville,2/8/04,,,,18,2,,,,,,,,,4.3
Bonneville,2/9/04,,,,27,8,,,,,,,,,4.3
Bonneville,2/10/04,,1,,33,5,,,,,,,,,4.3
Bonneville,2/11/04,,,,30,5,,,,,,,,,4.2
Bonneville,2/12/04,,,,27,,,,,,,,,,4.2
Bonneville,2/13/04,,,,34,17,,,,,,,,,4.1
Bonneville,2/14/04,,,,20,4,,,,,,,,,4.1
Bonneville,2/15/04,,1,,27,11,,,,,,,,,4.2
Bonneville,2/16/04,,1,,34,12,,,,,,,,,4.2
Bonneville,2/17/04,,1,,19,,,,,,,,,,4
Bonneville,2/18/04,,,,8,2,,,,,,,,,4
Bonneville,2/19/04,,2,,16,3,,,,,,,,,4.1
Bonneville,2/20/04,,,,21,3,,,,,,,,,4.2
Bonneville,2/21/04,,2,,17,-1,,,,,,,,,4.3
Bonneville,2/22/04,,1,,35,8,,,,,,,,,4.3
Bonneville,2/23/04,,3,,20,,,,,,,,,,4.3
Bonneville,2/24/04,,,,17,1,,,,,,,,,4.2
Bonneville,2/25/04,,,,10,1,,,,,,,,,4.3
Bonneville,2/26/04,,,,9,2,,,,,,,,,4.3
Bonneville,2/27/04,,2,,13,4,,,,,,,,,4.4
Bonneville,2/28/04,,1,,15,6,,,,,,,,,4.5
Bonneville,2/29/04,,2,,27,4,,,,,,,,,4.7
Bonneville,3/1/04,,2,,31,6,,,,,,,,,4.9
Bonneville,3/2/04,,4,,34,10,,,,,,,,,5
Bonneville,3/3/04,,7,,29,-2,,,,,,,,,5
Bonneville,3/4/04,,3,,29,2,,,,,,,,,5
Bonneville,3/5/04,,7,,14,6,,,,,,,,,
Bonneville,3/6/04,,7,,35,4,,,,,,,,,4.4
Bonneville,3/7/04,,4,,39,6,,,,,,,,,4.4
Bonneville,3/8/04,,6,,37,4,,,,,,,,,5.6
Bonneville,3/9/04,,8,,51,8,,,,,,,,,5.8
Bonneville,3/10/04,,15,,62,8,,,,,,,,,6.2
Bonneville,3/11/04,,7,,79,2,,,,,,,,,6.2
Bonneville,3/12/04,,32,,59,5,,,,,,,,,6.3
Bonneville,3/13/04,,19,,67,2,,,,,,,,,6.4
Bonneville,3/14/04,,18,,41,7,,,,,,,,,6.4
Bonneville,3/15/04,Sp,21,,63,7,,,,,,,,,6.6
Bonneville,3/16/04,Sp,18,,71,1,,,,,,,,,6.9
Bonneville,3/17/04,Sp,28,,71,,,,,,,,,,7
Bonneville,3/18/04,Sp,14,,65,15,,,,,,,,,7.2
Bonneville,3/19/04,Sp,17,,78,11,,,,,,,,,7
Bonneville,3/20/04,Sp,2,,56,11,,,,,,,,,7
Bonneville,3/21/04,Sp,11,,63,14,,,,,,,,,7.2
Bonneville,3/22/04,Sp,25,,88,12,,,,,,,,,7.4
Bonneville,3/23/04,Sp,44,,60,12,,,,,,,,,7.8
Bonneville,3/24/04,Sp,63,,74,13,,,,,,,,,8.2
Bonneville,3/25/04,Sp,31,,50,7,,,,,,,,,8.2
Bonneville,3/26/04,Sp,24,,51,-3,,,,,,,,,8.1
Bonneville,3/27/04,Sp,29,,84,11,,,,,,,,,8.1
Bonneville,3/28/04,Sp,22,,98,3,,,,,,,,,8.2
Bonneville,3/29/04,Sp,27,,85,3,,,,,,,,,8.5
Bonneville,3/30/04,Sp,21,,80,5,,,,,,,,,8.7
Bonneville,3/31/04,Sp,57,,55,5,,,,,,,,,8.7
Bonneville,4/1/04,Sp,57,,48,18,,,,,,,,,8.8
Bonneville,4/2/04,Sp,75,,53,17,,,,,,,,,8.9
Bonneville,4/3/04,Sp,88,,42,11,,,,,,,,,9.1
Bonneville,4/4/04,Sp,273,,72,24,,,,,,,,,9.3
Bonneville,4/5/04,Sp,391,,70,17,,,,,,,,,9.5
Bonneville,4/6/04,Sp,235,,48,20,,,,,,,,,9.7
Bonneville,4/7/04,Sp,341,,100,34,,,,,,,,,9.9
Bonneville,4/8/04,Sp,468,,90,37,,,,,,,,,10
Bonneville,4/9/04,Sp,710,,49,20,,,,,,,,,10.2
Bonneville,4/10/04,Sp,1202,,88,32,,,,,,,,,10.3
Bonneville,4/11/04,Sp,684,,47,19,,,,,,,,,10.4
Bonneville,4/12/04,Sp,1196,,47,16,,,,,,,,,10.6
Bonneville,4/13/04,Sp,4767,2,86,41,,,,,,,,,10.9
Bonneville,4/14/04,Sp,3035,3,66,21,,,,,,,,,11
Bonneville,4/15/04,Sp,3099,8,69,24,,,,,,,,,10.9
Bonneville,4/16/04,Sp,4304,17,49,20,,,,,,,,,10.7
Bonneville,4/17/04,Sp,4667,10,80,35,,,,,-1,,,,10.9
Bonneville,4/18/04,Sp,9488,24,70,32,,,,,,,,,11
Bonneville,4/19/04,Sp,8263,32,64,24,,,,,,,,,11.1
Bonneville,4/20/04,Sp,12656,70,102,40,,,,,,,,,11.1
Bonneville,4/21/04,Sp,6208,37,89,39,,,,,,,,,11.2
