Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2014,,1,,1,,,1,-1,,,,,,4.4
Bonneville,1/2/2014,,,,1,,,5,,,,,,,4.4
Bonneville,1/3/2014,,,,,,,1,,,,,,,4.4
Bonneville,1/4/2014,,,,1,-1,,-3,-2,,,,,,4.4
Bonneville,1/5/2014,,1,,7,4,,-3,,,,,,,5
Bonneville,1/6/2014,,,,8,4,,,,,,,,,5
Bonneville,1/7/2014,,,,-1,,,2,,,,,,,4.4
Bonneville,1/8/2014,,,,4,-1,,2,1,,,,,,4.4
Bonneville,1/9/2014,,,,6,4,,,,,,,,,4.4
Bonneville,1/10/2014,,,,46,16,,,,,,,,,4.4
Bonneville,1/11/2014,,1,1,19,12,1,,,,,,,,3.9
Bonneville,1/12/2014,,1,,31,14,,,,,,,,,4.4
Bonneville,1/13/2014,,,,29,11,,,,,,,,,5
Bonneville,1/14/2014,,,,24,9,,,,,,,,,5
Bonneville,1/15/2014,,,,11,6,,,,,,,,,5
Bonneville,1/16/2014,,,,,,,,,,,,,,5
Bonneville,1/17/2014,,,,11,6,1,,,,,,,,5
Bonneville,1/18/2014,,,,3,3,,,,,,,,,5
Bonneville,1/19/2014,,,,-2,-3,,,,,,,,,5
Bonneville,1/20/2014,,,,2,,,,,,,,,,4.4
Bonneville,1/21/2014,,,,4,1,,,,,,,,,4.4
Bonneville,1/22/2014,,,,3,1,,,,,,,,,3.9
Bonneville,1/23/2014,,,,3,-1,,,,,,,,,3.9
Bonneville,1/24/2014,,,,,1,,,,,,,,,3.9
Bonneville,1/25/2014,,,,,,,,,,,,,,3.9
Bonneville,1/26/2014,,,,2,,,,,,,,,,3.9
Bonneville,1/27/2014,,,,4,1,,,,,,,,,3.9
Bonneville,1/28/2014,,,,1,1,,,,,,,,,3.9
Bonneville,1/29/2014,,,,3,2,,,,,,,,,3.9
Bonneville,1/30/2014,,,,14,5,,,,,,,,,4.4
Bonneville,1/31/2014,,,,3,-1,,,,,,,,,4.4
Bonneville,2/1/2014,,,,7,2,,,,,,,,,4.4
Bonneville,2/2/2014,,,,4,3,,,,,,,,,5
Bonneville,2/3/2014,,,,4,3,,,,,,,,,5
Bonneville,2/4/2014,,,,1,,,,,,,,,,4.4
Bonneville,2/5/2014,,,,,,,,,,,,,,3.9
Bonneville,2/6/2014,,,,,,,,,,,,,,3.3
Bonneville,2/7/2014,,,,2,3,,,,,,,,,3.3
Bonneville,2/8/2014,,,,2,,,,,,,,,,3.3
Bonneville,2/9/2014,,,,1,1,,,,,,,,,2.8
Bonneville,2/10/2014,,,,2,1,,,,,,,,,2.2
Bonneville,2/11/2014,,,,-2,,,,,,,,,,1.7
Bonneville,2/12/2014,,,,8,4,,,,,,,,,1.7
Bonneville,2/13/2014,,,,11,6,,,,,,,,,2.2
Bonneville,2/14/2014,,,,17,3,,,,,,,,,2.2
Bonneville,2/15/2014,,,,10,6,,,,,,,,,2.8
Bonneville,2/16/2014,,,,16,6,,,,,,,,,3.3
Bonneville,2/17/2014,,,,25,13,,,,,,,,,3.3
Bonneville,2/18/2014,,,,19,6,,,,,,,,,3.3
Bonneville,2/19/2014,,,,19,8,,,,,,,,,3.3
Bonneville,2/20/2014,,,,17,9,,,,,,,,,3.3
Bonneville,2/21/2014,,,,10,7,,,,,,,,,3.3
Bonneville,2/22/2014,,,,-4,1,,,,,,,,,3.3
Bonneville,2/23/2014,,,,15,9,,,,,,,,,3.3
Bonneville,2/24/2014,,,,11,7,,,,,,,,,3.9
Bonneville,2/25/2014,,,,10,6,,,,,,,,,3.3
Bonneville,2/26/2014,,,,3,1,,,,,,,,,3.3
Bonneville,2/27/2014,,,,8,5,,,,,,,,,3.3
Bonneville,2/28/2014,,,,19,8,,,,,,,,,3.3
Bonneville,3/1/2014,,,,19,12,,,,,,,,,3.3
Bonneville,3/2/2014,,,,8,3,,,,,,,,,2.8
Bonneville,3/3/2014,,,,26,16,,,,,,,,,3.3
Bonneville,3/4/2014,,,,51,24,,,,,,,,,3.3
Bonneville,3/5/2014,,,,66,24,,,,,,,,,3.9
Bonneville,3/6/2014,,,,139,68,,,,,,,,,3.9
Bonneville,3/7/2014,,,,90,24,,,,,,,,,3.9
Bonneville,3/8/2014,,1,,36,15,,,,,,,,,5
Bonneville,3/9/2014,,,,56,12,,,,,,,,,5
Bonneville,3/10/2014,,,,34,7,,,,,,,,,5
Bonneville,3/11/2014,,,,56,19,,,,,,,,,4.4
Bonneville,3/12/2014,,,,60,22,,,,,,,,,5
Bonneville,3/13/2014,,,,49,22,,,,,,,,,5.1
Bonneville,3/14/2014,,,,61,8,,,,,,,,,5.4
Bonneville,3/15/2014,Sp,1,,55,13,,,,,,,,,5.8
Bonneville,3/16/2014,Sp,2,,101,23,,,,,,,,,6.3
Bonneville,3/17/2014,Sp,2,,81,10,,,,,,,,,6.6
Bonneville,3/18/2014,Sp,,,107,24,,,,,,,,,6.6
Bonneville,3/19/2014,Sp,5,,66,12,,,,,,,,,6.7
Bonneville,3/20/2014,Sp,3,,74,2,,,,,,,,,6.7
Bonneville,3/21/2014,Sp,8,,132,30,,,,,,,,,6.8
Bonneville,3/22/2014,Sp,11,,95,14,,,,,,,,,6.8
Bonneville,3/23/2014,Sp,20,,94,26,,,,,,,,,6.8
Bonneville,3/24/2014,Sp,27,1,81,28,,,,,,,,,6.9
Bonneville,3/25/2014,Sp,43,,77,29,,,,,,,,,7.1
Bonneville,3/26/2014,Sp,47,1,73,22,,,,,,,,,7.2
Bonneville,3/27/2014,Sp,85,2,89,32,,,,,,,,,7.2
Bonneville,3/28/2014,Sp,89,1,93,33,,,,,,,,,7.1
Bonneville,3/29/2014,Sp,65,1,58,13,,,,,,,,,7
Bonneville,3/30/2014,Sp,30,1,53,22,,,,,,,,,6.9
Bonneville,3/31/2014,Sp,92,1,40,9,,,,,,,,,7
