Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2022,,,,13,5,,,,,,,,,
Bonneville,1/2/2022,,,,14,9,,,,,,,,,
Bonneville,1/3/2022,,,,9,7,,,,,,,,,
Bonneville,1/4/2022,,,,4,2,,,,,,,,,
Bonneville,1/5/2022,,,,10,4,,,,,,,,,
Bonneville,1/6/2022,,,,12,5,,1,,,,,,,
Bonneville,1/7/2022,,-1,,10,3,,-1,,,,,,,
Bonneville,1/8/2022,,,,6,2,,,,,,,,,
Bonneville,1/9/2022,,,,10,6,,,,,,,,,
Bonneville,1/10/2022,,,,2,3,,,,,,,,,
Bonneville,1/11/2022,,,,,1,,,,,,,,,
Bonneville,1/12/2022,,,,4,2,,,,,,,,,
Bonneville,1/13/2022,,1,,1,,,,,,,,,,
Bonneville,1/14/2022,,,,3,3,,,,,,,,,
Bonneville,1/15/2022,,,,10,3,,,,,,,,,
Bonneville,1/16/2022,,,,8,4,,,,,,,,,
Bonneville,1/17/2022,,,,4,,,,,,,,,,
Bonneville,1/18/2022,,,,6,2,,,,,,,,,
Bonneville,1/19/2022,,,,6,3,,-1,,,,,,,
Bonneville,1/20/2022,,,,7,6,,,,,,,,,
Bonneville,1/21/2022,,,,25,13,,,,,,,,,
Bonneville,1/22/2022,,,,17,5,,,,,,,,,
Bonneville,1/23/2022,,,,,1,,,,,,,,,
Bonneville,1/24/2022,,,,5,2,,,,,,,,,
Bonneville,1/25/2022,,,,2,2,,,,,,,,,
Bonneville,1/26/2022,,,,8,4,,,,,,,,,
Bonneville,1/27/2022,,,,3,2,,,,,,,,,
Bonneville,1/28/2022,,,,5,3,,,,,,,,,
Bonneville,1/29/2022,,,,,,,,,,,,,,
Bonneville,1/30/2022,,,,1,1,,,,,,,,,
Bonneville,1/31/2022,,,,2,1,,,,,,,,,
Bonneville,2/1/2022,,,,6,5,,,,,,,,,
Bonneville,2/2/2022,,,,6,2,,,,,,,,,
Bonneville,2/3/2022,,,,2,1,,,,,,,,,
Bonneville,2/4/2022,,,,4,,,,,,,,,,
Bonneville,2/5/2022,,,,3,3,,,,,,,,,
Bonneville,2/6/2022,,,,4,1,,,,,,,,,
Bonneville,2/7/2022,,,,3,,,,,,,,,,
Bonneville,2/8/2022,,,,4,4,,,,,,,,,
