,,,"COLUMBIA R MAINSTEM--BUOY
10 TO TONGUE PT","COLUMBIA R MAINSTEM--
TONGUE PT TO LONGVIEW BRIDGE","COLUMBIA R MAINSTEM--
LONGVIEW BRIDGE TO I-5
BRIDGE","COLUMBIA R MAINSTEM--I-5
BRIDGE TO BONNEVILLE DAM","COLUMBIA R MAINSTEM--
BONNEVILLE DAM TO THE DALLES","COLUMBIA R MAINSTEM--THE
DALLES DAM TO JOHN DAY DAM","COLUMBIA R MAINSTEM--JOHN
DAY DAM TO MCNARY DAM","COLUMBIA R MAINSTEM--
MCNARY DAM TO STATELINE"
2013,January,Winter,5,5,14,5,1,0,0,0
2013,February,Winter,9,14,56,0,1,0,0,0
2013,March,Winter,0,93,169,13,4,0,0,0
2013,April,Winter,2,0,31,2,2,0,0,0
2013,May,Winter,0,0,0,0,0,0,0,0
2013,June,Winter,0,0,0,0,0,0,0,0
2013,July,Winter,0,0,0,0,0,0,0,0
2013,August,Winter,0,0,0,0,0,0,0,0
2013,September,Winter,0,0,0,0,0,0,0,0
2013,October,Winter,0,0,0,0,0,0,0,0
2013,November,Winter,0,0,5,0,0,0,0,0
2013,December,Winter,0,9,19,0,0,0,0,0
2013,January,Summer,0,0,0,0,8,19,9,42
2013,February,Summer,0,0,0,0,3,9,5,5
2013,March,Summer,0,10,19,1,0,19,24,9
2013,April,Summer,3,0,31,2,2,0,28,0
2013,May,Summer,0,329,151,0,0,0,0,0
2013,June,Summer,19,452,254,9,0,5,5,0
2013,July,Summer,9,235,395,353,85,9,9,0
2013,August,Summer,71,184,617,664,457,221,47,14
2013,September,Summer,14,42,33,19,28,80,71,33
2013,October,Summer,0,0,5,5,24,52,75,574
2013,November,Summer,0,0,0,0,5,9,24,108
2013,December,Summer,0,0,0,0,4,5,19,24
2014,January,Winter,0,11,32,0,1,0,0,0
2014,February,Winter,11,11,16,11,0,0,0,0
2014,March,Winter,5,86,110,5,10,0,0,0
2014,April,Winter,2,0,48,0,0,5,0,0
2014,May,Winter,0,0,0,0,0,0,0,0
2014,June,Winter,0,0,0,0,0,0,0,0
2014,July,Winter,0,0,0,0,0,0,0,0
2014,August,Winter,0,0,0,0,0,0,0,0
2014,September,Winter,0,0,0,0,0,0,0,0
2014,October,Winter,0,0,0,0,0,0,0,0
2014,November,Winter,0,0,11,0,0,0,0,0
2014,December,Winter,0,0,21,0,1,0,0,0
2014,January,Summer,0,0,0,0,5,11,11,16
2014,February,Summer,0,0,0,0,0,5,11,0
2014,March,Summer,0,10,12,1,1,0,11,5
2014,April,Summer,3,0,48,0,0,5,5,0
2014,May,Summer,5,304,165,16,0,0,0,0
2014,June,Summer,32,1168,213,48,5,5,5,0
2014,July,Summer,43,555,629,597,48,171,37,27
2014,August,Summer,395,128,602,677,565,283,59,11
2014,September,Summer,53,11,139,69,69,139,16,267
