daterecorded,maxtempf,mintempf,precipitationinch,watertempf
01-01,43.766666666666666,32.206896551724135,0.40225806451612905,40.89714285714286
01-02,42.903225806451616,33.9375,0.453125,40.93571428571429
01-03,43.40625,34.375,0.398125,40.71714285714285
01-04,42.125,34.064516129032256,0.3515625,40.56285714285714
01-05,42.5,33.45161290322581,0.3934375,40.48571428571428
01-06,42.5625,32.903225806451616,0.328125,40.50153846153846
01-07,42.75,34.3125,0.3875,40.46
01-08,43.5,35.0625,0.3990625,40.33142857142857
01-09,43.90625,34.6875,0.400625,40.20285714285715
01-10,43.8125,34.96875,0.443125,40.151428571428575
01-11,43.65625,34.3125,0.3859375,39.90714285714286
01-12,42.064516129032256,34.46875,0.3946875,39.83
01-13,44.25806451612903,34.903225806451616,0.5364516129032257,39.933846153846154
01-14,44.064516129032256,34.375,0.22064516129032258,39.534285714285716
01-15,44.34375,34.4375,0.383125,39.354285714285716
01-16,42.15625,34.3125,0.495625,39.00714285714286
01-17,42.78125,34.03125,0.33187500000000003,39.05857142857143
01-18,42.96774193548387,34.40625,0.5416129032258065,39.04571428571428
01-19,43.0625,34.96774193548387,0.3464516129032258,39.019999999999996
01-20,43.9375,35.0625,0.380625,39.04571428571428
01-21,43.935483870967744,35.25,0.2980645161290323,38.90428571428571
01-22,44.09375,35.54838709677419,0.21193548387096775,39.29692307692308
01-23,44.65625,35.71875,0.32625,38.76285714285715
01-24,44.875,35.78125,0.2921875,38.544285714285714
01-25,45.90625,35.625,0.34468750000000004,38.69857142857143
01-26,45.25,35.16129032258065,0.39625,38.77571428571429
01-27,44.3125,35.25,0.2309375,38.67285714285714
01-28,45.90625,35.13793103448276,0.335,38.480000000000004
01-29,46.1875,36.78125,0.528125,38.67285714285714
01-30,46.54838709677419,36.03225806451613,0.4535483870967742,38.68769230769231
01-31,46.233333333333334,36.32258064516129,0.3261290322580645,38.955714285714286
02-01,46.1875,36.40625,0.4071875,38.90428571428571
02-02,46.03225806451613,35.516129032258064,0.421875,38.955714285714286
02-03,46.65625,35.25806451612903,0.20625,38.90428571428571
02-04,45.935483870967744,35.62068965517241,0.26875,38.94285714285714
02-05,46.84375,35.6875,0.3396875,38.78857142857142
02-06,46.25806451612903,35.96666666666667,0.3353125,38.78857142857142
02-07,47.4375,36.1875,0.4028125,38.878571428571426
02-08,46.8125,35.32258064516129,0.3409375,38.86571428571428
02-09,46.225806451612904,35.096774193548384,0.404375,39.324615384615385
02-10,47.96774193548387,35.16129032258065,0.1971875,39.255384615384614
02-11,47.3125,35.5625,0.1990625,39.2
02-12,47.53125,36.03125,0.1865625,38.90428571428571
02-13,47.87096774193548,35.25806451612903,0.2990322580645161,39.12285714285714
02-14,47.903225806451616,35.6,0.23193548387096777,39.22571428571428
02-15,48.12903225806452,35.516129032258064,0.2464516129032258,39.23857142857143
02-16,48.5,36.3,0.39838709677419354,39.199999999999996
02-17,48.1,36.41379310344828,0.29125,39.00615384615384
02-18,49.0,35.96774193548387,0.36096774193548387,39.30285714285714
02-19,48.483870967741936,35.61290322580645,0.5077419354838709,39.315714285714286
02-20,48.67741935483871,36.03225806451613,0.30125,39.48285714285714
02-21,48.71875,34.903225806451616,0.373125,39.76769230769231
02-22,49.625,36.53125,0.2440625,39.675714285714285
02-23,49.875,35.875,0.295625,39.76571428571429
02-24,49.625,34.875,0.354375,39.75285714285714
02-25,50.34375,34.61290322580645,0.2378125,39.817142857142855
02-26,48.09375,34.96774193548387,0.2575,39.675714285714285
02-27,47.84375,34.65625,0.2890625,40.98714285714285
02-28,49.645161290322584,35.3125,0.26625,39.791428571428575
02-29,51.25,38.714285714285715,0.2625,40.580000000000005
03-01,50.13333333333333,35.5,0.40419354838709676,40.19
03-02,50.16129032258065,34.96774193548387,0.22129032258064515,40.279999999999994
03-03,50.266666666666666,35.54838709677419,0.3167741935483871,40.34428571428572
03-04,51.25806451612903,36.56666666666667,0.28612903225806446,40.652857142857144
03-05,50.54838709677419,35.903225806451616,0.2529032258064516,40.66571428571429
03-06,51.54838709677419,36.41935483870968,0.28516129032258064,40.79600000000001
03-07,52.483870967741936,36.67741935483871,0.21645161290322582,40.89714285714285
03-08,53.096774193548384,36.903225806451616,0.23548387096774193,41.048
03-09,53.096774193548384,37.3,0.3393548387096774,41.36
03-10,54.064516129032256,37.206896551724135,0.3096774193548387,41.624
03-11,54.774193548387096,38.54838709677419,0.1935483870967742,41.768
03-12,54.96774193548387,37.96666666666667,0.28225806451612906,42.12235294117647
03-13,54.483870967741936,38.32258064516129,0.24290322580645163,42.34470588235294
03-14,55.74193548387097,38.903225806451616,0.31548387096774194,42.40625
03-15,55.12903225806452,38.53333333333333,0.40064516129032257,42.78258064516129
03-16,54.935483870967744,39.44827586206897,0.33999999999999997,43.076
03-17,53.87096774193548,38.86666666666667,0.28935483870967743,43.357419354838704
03-18,53.96774193548387,38.43333333333333,0.22483870967741934,43.47935483870968
03-19,55.193548387096776,38.241379310344826,0.2812903225806452,43.641935483870974
03-20,56.25806451612903,38.67741935483871,0.1896774193548387,43.79290322580645
