day,maxtempf,mintempf,precipitationinch,watertempf,chinookcount
1,51.0,34.0,0.0,39.92,1
3,42.0,38.0,0.01,39.92,2
5,43.0,28.0,0.02,41.0,1
8,37.0,34.0,0.0,39.92,1
11,59.0,45.0,0.65,39.02,1
12,50.0,41.5,0.615,39.92,0
13,52.0,43.0,0.01,39.92,-1
16,44.0,38.0,0.0,42.98,-1
18,40.5,35.0,0.0,40.82,0
19,36.0,31.0,0.0,39.02,1
22,42.0,38.0,0.0,41.9,2
23,55.0,37.0,0.95,41.9,-1
24,51.0,38.5,0.14,40.19,0
25,51.0,34.5,1.055,40.55,1
26,53.0,39.0,0.755,41.09,0
29,52.0,42.0,0.0,42.44,2
31,64.0,42.0,2.0,42.8,1
32,57.0,42.0,2.55,42.8,4
33,37.0,31.0,0.0,39.02,1
36,45.5,36.5,0.32,37.49,1
37,50.0,45.0,0.4,39.92,1
39,53.5,42.5,0.96,39.92,1
41,52.0,37.0,0.0,39.74,1
42,51.0,41.0,0.13,37.94,1
44,50.0,43.0,0.22,39.92,1
46,43.0,34.0,0.3,39.56,1
47,45.5,36.5,0.31000000000000005,38.75,1
48,42.0,34.0,0.84,39.2,1
49,45.5,35.0,0.745,40.28,2
50,52.0,38.0,0.235,41.0,3
51,51.666666666666664,35.666666666666664,0.17,40.94,1
52,53.0,37.5,0.29,41.36,2
53,51.5,38.0,0.25,39.875,1
54,50.0,37.0,0.09,41.36,4
55,43.333333333333336,33.333333333333336,0.26,40.339999999999996,3
56,45.0,31.0,0.0,41.54,3
57,41.666666666666664,30.0,0.08333333333333333,40.52,1
58,51.0,39.333333333333336,0.29833333333333334,41.12,4
59,51.714285714285715,37.714285714285715,0.2914285714285714,40.69142857142857,7
60,55.25,39.0,0.3425,41.629999999999995,2
61,53.0,36.857142857142854,0.16428571428571428,40.56285714285714,15
62,52.75,35.25,0.2175,40.504999999999995,7
63,52.4,34.4,0.002,41.9,23
64,50.0,35.857142857142854,0.3485714285714286,40.94857142857143,21
65,52.714285714285715,37.142857142857146,0.30428571428571427,41.36,22
66,53.25,36.875,0.50125,41.1125,30
67,53.0,35.833333333333336,0.36833333333333335,40.955,24
68,55.666666666666664,37.416666666666664,0.29583333333333334,41.39,34
69,55.857142857142854,37.57142857142857,0.5428571428571429,41.925714285714285,64
70,59.44444444444444,39.666666666666664,0.07777777777777778,42.38,77
71,56.5,40.0,0.32583333333333336,42.155,48
72,54.46153846153846,39.53846153846154,0.25076923076923074,42.52307692307692,29
73,56.63636363636363,39.81818181818182,0.32090909090909087,43.127272727272725,35
74,55.333333333333336,39.95238095238095,0.4457142857142858,42.8,38
75,56.05,39.9,0.39849999999999997,43.322,54
76,54.130434782608695,38.82608695652174,0.43869565217391304,43.684347826086956,27
77,54.166666666666664,39.375,0.1975,43.895,37
78,54.6,38.16,0.20400000000000001,43.5992,41
79,56.416666666666664,39.333333333333336,0.24125,44.01500000000001,43
80,57.357142857142854,38.535714285714285,0.1775,43.93142857142857,43
81,55.074074074074076,38.74074074074074,0.31074074074074076,44.27333333333334,42
82,55.22222222222222,39.148148148148145,0.3222222222222222,44.419999999999995,49
83,55.333333333333336,38.125,0.22791666666666666,44.442499999999995,46
84,57.12,40.0,0.2372,44.888000000000005,54
85,56.04,39.12,0.2096,45.053599999999996,78
86,55.689655172413794,38.62068965517241,0.3331034482758621,45.071724137931035,122
87,56.44827586206897,39.206896551724135,0.24517241379310345,45.282758620689656,140
88,56.32142857142857,39.75,0.35035714285714287,45.583571428571425,147
89,58.51851851851852,39.888888888888886,0.2588888888888889,45.85333333333333,163
90,58.82142857142857,41.17857142857143,0.22571428571428573,45.94357142857143,182
91,58.29032258064516,40.774193548387096,0.27741935483870966,46.00516129032258,344
92,57.41379310344828,40.206896551724135,0.22,46.07103448275862,461
93,57.0,40.13333333333333,0.214,46.322,485
94,57.7,39.6,0.13399999999999998,46.586,522
95,59.6,41.03333333333333,0.19666666666666668,46.79600000000001,745
96,57.064516129032256,41.70967741935484,0.3190322580645161,46.91677419354839,915
97,58.2,42.03333333333333,0.2936666666666667,47.09,655
98,58.03225806451613,41.483870967741936,0.3190322580645161,47.31161290322581,667
99,59.0,41.225806451612904,0.25483870967741934,47.578709677419354,835
100,59.96666666666667,42.233333333333334,0.2076666666666667,47.785999999999994,1167
101,59.61290322580645,42.41935483870968,0.28774193548387095,48.019999999999996,1358
102,59.41935483870968,42.193548387096776,0.1435483870967742,48.24645161290323,1479
103,59.193548387096776,42.32258064516129,0.23774193548387096,48.47870967741935,1618
104,57.733333333333334,41.93333333333333,0.3363333333333333,48.74,2060
105,58.87096774193548,41.354838709677416,0.23903225806451614,48.890967741935484,2363
106,59.3,42.43333333333333,0.19166666666666668,49.01,2063
107,61.32142857142857,43.17857142857143,0.17107142857142857,49.395714285714284,1696
108,60.13333333333333,43.3,0.223,49.598,2414
109,62.233333333333334,42.733333333333334,0.11733333333333333,49.958,2760
110,62.833333333333336,42.93333333333333,0.13633333333333333,50.18,2645
111,62.93333333333333,43.06666666666667,0.1396666666666667,50.288000000000004,2866
112,60.74193548387097,43.064516129032256,0.10161290322580646,50.60387096774193,2783
113,62.241379310344826,43.10344827586207,0.20275862068965517,50.595862068965516,2704
114,61.67741935483871,43.74193548387097,0.29870967741935484,50.88258064516129,2506
115,62.827586206896555,43.6551724137931,0.30724137931034484,50.682758620689654,2660
116,62.5,43.56666666666667,0.15933333333333335,51.206,2686
117,62.903225806451616,43.225806451612904,0.20451612903225805,51.440000000000005,3301
118,63.29032258064516,43.29032258064516,0.2364516129032258,51.64322580645162,3356
119,62.935483870967744,44.225806451612904,0.1996774193548387,51.910322580645165,3181
120,63.62068965517241,44.10344827586207,0.15482758620689657,52.402068965517245,4198
121,65.64285714285714,43.892857142857146,0.195,52.50714285714286,4142
122,65.38709677419355,44.193548387096776,0.13774193548387098,52.7058064516129,3346
123,65.93548387096774,44.74193548387097,0.13129032258064516,52.97870967741935,3599
124,66.63333333333334,45.7,0.17366666666666666,53.192,3400
125,65.8,46.86666666666667,0.22733333333333333,53.516,3332
126,65.48387096774194,46.774193548387096,0.1270967741935484,53.65806451612904,3168
127,66.0,45.74193548387097,0.1267741935483871,53.81483870967742,3199
128,66.03225806451613,45.03225806451613,0.13032258064516128,54.064516129032256,2958
129,67.4,44.9,0.11866666666666667,54.217999999999996,2744
130,65.79310344827586,46.51724137931034,0.12724137931034482,54.419310344827586,3001
131,67.41935483870968,46.74193548387097,0.06225806451612903,54.6683870967742,2383
132,65.93333333333334,47.93333333333333,0.14800000000000002,54.908,2136
133,65.41935483870968,46.193548387096776,0.1164516129032258,55.016774193548386,1914
134,67.63333333333334,45.9,0.13499999999999998,55.178,1861
135,69.87096774193549,48.064516129032256,0.20161290322580644,55.44064516129033,1917
136,67.9,49.2,0.15499999999999997,55.730000000000004,1751
137,66.83333333333333,48.96666666666667,0.15066666666666664,55.928,1553
138,67.12903225806451,49.25806451612903,0.15451612903225806,56.09096774193548,1439
139,69.06451612903226,49.354838709677416,0.10322580645161289,56.288387096774194,1323
140,67.06451612903226,48.645161290322584,0.14161290322580644,56.509032258064515,1243
141,65.96666666666667,47.93333333333333,0.109,56.666000000000004,1287
142,67.74193548387096,48.16129032258065,0.09774193548387096,56.78193548387097,1144
143,67.96666666666667,48.46666666666667,0.162,56.995999999999995,1111
144,68.93103448275862,49.6551724137931,0.12931034482758622,56.945517241379314,1140
145,68.19354838709677,49.096774193548384,0.09483870967741935,57.472903225806455,1058
146,69.0,49.6,0.15466666666666665,57.518,1180
147,69.93548387096774,50.806451612903224,0.09419354838709677,57.7341935483871,1148
148,69.74193548387096,51.645161290322584,0.12129032258064516,57.7341935483871,1073
149,68.33333333333333,50.63333333333333,0.205,57.943999999999996,1023
150,68.875,50.09375,0.1428125,57.92,1052
151,70.87096774193549,50.12903225806452,0.06903225806451613,58.303225806451614,1134
152,71.70967741935483,52.0,0.10903225806451612,58.593548387096774,1213
153,70.58064516129032,51.58064516129032,0.13129032258064516,58.332258064516125,1218
154,71.6875,51.5,0.135625,59.016875,1267
155,72.03225806451613,50.903225806451616,0.0996774193548387,59.20903225806452,1248
156,72.0625,50.625,0.121875,59.36,1305
157,71.9375,51.125,0.16125,59.523125,1299
158,70.625,51.5625,0.1496875,59.613125,1344
159,70.2258064516129,51.935483870967744,0.13419354838709677,59.80129032258064,1478
160,70.29032258064517,51.516129032258064,0.1406451612903226,59.88258064516129,1457
161,69.64516129032258,51.03225806451613,0.16032258064516128,60.02774193548387,1445
162,67.7741935483871,50.58064516129032,0.20225806451612904,60.0858064516129,1429
163,70.25806451612904,51.41935483870968,0.10741935483870968,60.21354838709677,1462
164,71.26666666666667,52.53333333333333,0.194,60.608,1487
165,69.64516129032258,52.935483870967744,0.1038709677419355,60.678064516129034,1501
166,68.56666666666666,51.766666666666666,0.09166666666666666,60.884,1520
167,69.84375,51.4375,0.1375,60.895625,1644
168,69.90322580645162,51.58064516129032,0.11709677419354839,61.03806451612903,1729
169,73.03125,52.25,0.0628125,61.32875,1699
170,72.29032258064517,52.29032258064516,0.09806451612903226,61.70580645161291,1548
171,73.65517241379311,52.241379310344826,0.08689655172413793,61.867586206896554,1572
172,74.6896551724138,53.41379310344828,0.038965517241379304,62.17793103448276,1617
173,75.03225806451613,53.774193548387096,0.12000000000000001,62.35032258064516,1742
174,73.86666666666666,54.53333333333333,0.025333333333333333,62.6,1768
175,75.1,54.266666666666666,0.05,62.966,1691
176,74.93548387096774,54.193548387096776,0.15064516129032257,62.93096774193549,1638
177,76.12903225806451,55.03225806451613,0.06870967741935484,63.25032258064516,1650
178,77.93548387096774,55.25806451612903,0.09322580645161291,63.54064516129032,1570
179,78.93333333333334,55.9,0.071,63.788000000000004,1531
180,77.89655172413794,55.62068965517241,0.09896551724137931,64.16413793103449,1533
181,78.06451612903226,56.38709677419355,0.02225806451612903,64.4116129032258,1327
182,78.06666666666666,56.8,0.03766666666666666,64.646,1384
183,76.90322580645162,55.74193548387097,0.022580645161290325,64.73677419354838,1343
184,76.28125,55.75,0.026875000000000003,64.88374999999999,1252
185,77.21875,55.625,0.0171875,65.103125,1212
186,77.8125,55.5,0.013125000000000001,65.28875,1149
187,75.46875,55.40625,0.04625,65.51375,1024
188,76.87096774193549,55.41935483870968,0.012903225806451611,65.69483870967741,959
189,77.80645161290323,56.225806451612904,0.00870967741935484,66.08387096774193,950
