Count_Id,Year_Wk,Year,Month,Week_Number,Project,Date,Stlhd,TempC
19900315,1990_11,1990,3,11,Bonneville,3/15/1990,27.0,6.7
19900316,1990_11,1990,3,11,Bonneville,3/16/1990,44.0,7.2
19900317,1990_11,1990,3,11,Bonneville,3/17/1990,36.0,6.7
19900318,1990_12,1990,3,12,Bonneville,3/18/1990,60.0,7.2
19900319,1990_12,1990,3,12,Bonneville,3/19/1990,46.0,7.8
19900320,1990_12,1990,3,12,Bonneville,3/20/1990,84.0,7.8
19900321,1990_12,1990,3,12,Bonneville,3/21/1990,67.0,7.8
19900322,1990_12,1990,3,12,Bonneville,3/22/1990,52.0,7.8
19900323,1990_12,1990,3,12,Bonneville,3/23/1990,83.0,7.2
19900324,1990_12,1990,3,12,Bonneville,3/24/1990,68.0,7.8
19900325,1990_13,1990,3,13,Bonneville,3/25/1990,60.0,7.8
19900326,1990_13,1990,3,13,Bonneville,3/26/1990,85.0,7.8
19900327,1990_13,1990,3,13,Bonneville,3/27/1990,54.0,7.8
19900328,1990_13,1990,3,13,Bonneville,3/28/1990,56.0,7.8
19900329,1990_13,1990,3,13,Bonneville,3/29/1990,43.0,7.8
19900330,1990_13,1990,3,13,Bonneville,3/30/1990,53.0,7.8
19900331,1990_13,1990,3,13,Bonneville,3/31/1990,48.0,7.8
19900401,1990_14,1990,4,14,Bonneville,4/1/1990,108.0,7.8
19900402,1990_14,1990,4,14,Bonneville,4/2/1990,57.0,7.8
19900403,1990_14,1990,4,14,Bonneville,4/3/1990,93.0,8.3
19900404,1990_14,1990,4,14,Bonneville,4/4/1990,98.0,8.9
19900405,1990_14,1990,4,14,Bonneville,4/5/1990,89.0,9.4
19900406,1990_14,1990,4,14,Bonneville,4/6/1990,83.0,9.4
19900407,1990_14,1990,4,14,Bonneville,4/7/1990,67.0,9.4
19900408,1990_15,1990,4,15,Bonneville,4/8/1990,78.0,9.4
19900409,1990_15,1990,4,15,Bonneville,4/9/1990,76.0,9.4
19900410,1990_15,1990,4,15,Bonneville,4/10/1990,107.0,9.4
19900411,1990_15,1990,4,15,Bonneville,4/11/1990,64.0,10.0
19900412,1990_15,1990,4,15,Bonneville,4/12/1990,72.0,10.0
19900413,1990_15,1990,4,15,Bonneville,4/13/1990,114.0,10.0
19900414,1990_15,1990,4,15,Bonneville,4/14/1990,88.0,10.6
19900415,1990_16,1990,4,16,Bonneville,4/15/1990,106.0,10.6
19900416,1990_16,1990,4,16,Bonneville,4/16/1990,97.0,11.1
19900417,1990_16,1990,4,16,Bonneville,4/17/1990,96.0,11.7
19900418,1990_16,1990,4,16,Bonneville,4/18/1990,90.0,11.7
19900419,1990_16,1990,4,16,Bonneville,4/19/1990,118.0,11.7
19900420,1990_16,1990,4,16,Bonneville,4/20/1990,74.0,11.7
19900421,1990_16,1990,4,16,Bonneville,4/21/1990,97.0,12.2
19900422,1990_17,1990,4,17,Bonneville,4/22/1990,87.0,12.2
19900423,1990_17,1990,4,17,Bonneville,4/23/1990,83.0,12.2
19900424,1990_17,1990,4,17,Bonneville,4/24/1990,77.0,12.2
19900425,1990_17,1990,4,17,Bonneville,4/25/1990,68.0,12.2
