weeknumber,maxtempf,mintempf,precipitationinch,watertempf,sockeyecount
2,59.0,45.0,0.65,39.02,1.0
3,50.0,36.0,0.0,41.0,1.0
6,56.0,41.0,0.42,39.92,1.0
15,64.0,44.0,0.01,46.04,1.0
16,66.0,46.0,0.0,50.0,1.0
18,68.66666666666667,43.0,0.01,50.54,1.0
19,63.4,42.0,0.054000000000000006,51.620000000000005,1.6
20,73.375,47.0,0.015,53.082499999999996,1.25
21,69.12,49.56,0.10439999999999999,57.3944,1.68
22,70.2439024390244,51.16260162601626,0.11414634146341464,58.22731707317073,13.398373983739837
23,70.9748743718593,50.984924623115575,0.1321608040201005,59.19628140703517,153.58793969849245
24,70.01869158878505,51.78971962616822,0.13850467289719626,60.15654205607477,1043.443925233645
25,72.0324074074074,52.22222222222222,0.09523148148148149,61.399166666666666,3988.9444444444443
26,75.65876777251185,54.70142180094787,0.09962085308056871,63.07857819905213,7751.21327014218
27,77.9590909090909,55.86363636363637,0.02259090909090909,64.83854545454545,5377.118181818182
28,78.88888888888889,56.52777777777778,0.027962962962962964,66.34083333333334,2713.865740740741
29,79.34722222222223,57.648148148148145,0.015370370370370371,67.79083333333334,884.175925925926
30,81.10091743119266,58.20183486238532,0.014541284403669724,69.03293577981651,272.11467889908255
31,82.51184834123222,58.355450236966824,0.013838862559241705,69.91260663507109,78.23696682464455
32,81.58851674641149,58.87081339712919,0.01842105263157895,70.76976076555023,23.842105263157894
33,81.37222222222222,58.88333333333333,0.012333333333333332,71.037,8.661111111111111
34,81.45925925925926,58.24444444444445,0.025037037037037035,70.976,4.37037037037037
35,81.57943925233644,56.467289719626166,0.03495327102803738,70.35345794392524,3.364485981308411
36,77.73529411764706,54.88235294117647,0.06794117647058824,69.49823529411765,2.411764705882353
37,78.2051282051282,54.02564102564103,0.02564102564102564,68.36461538461538,1.6666666666666667
38,76.94117647058823,52.23529411764706,0.05588235294117647,67.53411764705882,0.9411764705882353
39,74.57142857142857,48.714285714285715,0.09857142857142856,66.25142857142858,1.1428571428571428
40,66.5,53.0,1.105,65.57,0.0
42,62.0,49.0,0.45,64.94,1.0
45,63.0,42.0,0.95,55.22,5.0
