Count_Id,Year_Wk,Year,Month,Week_Number,Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
19900315,1990_11,1990,3,11,Bonneville,3/15/1990,Sp,2,,27,,,,,,,,,,6.7
19900316,1990_11,1990,3,11,Bonneville,3/16/1990,Sp,1,,44,,,,,,,,,,7.2
19900317,1990_11,1990,3,11,Bonneville,3/17/1990,Sp,2,,36,,,,,,,,,,6.7
19900318,1990_12,1990,3,12,Bonneville,3/18/1990,Sp,1,,60,,,,,,,,,,7.2
19900319,1990_12,1990,3,12,Bonneville,3/19/1990,Sp,,,46,,,,,,,,,,7.8
19900320,1990_12,1990,3,12,Bonneville,3/20/1990,Sp,2,,84,,,,,,,,,,7.8
19900321,1990_12,1990,3,12,Bonneville,3/21/1990,Sp,12,,67,,,,,,,,,,7.8
19900322,1990_12,1990,3,12,Bonneville,3/22/1990,Sp,7,,52,,,,,,,,,,7.8
19900323,1990_12,1990,3,12,Bonneville,3/23/1990,Sp,8,,83,,,,,,,,,,7.2
19900324,1990_12,1990,3,12,Bonneville,3/24/1990,Sp,19,,68,,,,,,,,,,7.8
19900325,1990_13,1990,3,13,Bonneville,3/25/1990,Sp,46,,60,,,,,,,,,,7.8
19900326,1990_13,1990,3,13,Bonneville,3/26/1990,Sp,66,,85,,,,,,,,,,7.8
19900327,1990_13,1990,3,13,Bonneville,3/27/1990,Sp,105,1,54,,,,,,,,,,7.8
19900328,1990_13,1990,3,13,Bonneville,3/28/1990,Sp,151,,56,,,,,,,,,,7.8
19900329,1990_13,1990,3,13,Bonneville,3/29/1990,Sp,85,,43,,,,,,,,,,7.8
19900330,1990_13,1990,3,13,Bonneville,3/30/1990,Sp,85,,53,,,,,,,,,,7.8
19900331,1990_13,1990,3,13,Bonneville,3/31/1990,Sp,84,,48,,,,,,,,,,7.8
